time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2021-05-27 00:00:00+00:00,eth,723157,1.756818483141,318341504471.2489998143805183,573.5019441,20.225251890882,2743.10334950321,116051589.71823,1291385,15739804190.75854093288515677306,20.550379357594
2021-05-28 00:00:00+00:00,eth,646541,1.597605292618,280332334755.2359894755096513,571.24641438,19.222239634765,2415.30300233781,116065079.40573,1305078,14583749868.99229681333572176994,20.629690259917
2021-05-29 00:00:00+00:00,eth,798571,1.535196386971,265687460591.5910944289673715,567.54361217,20.831759014629,2288.85813150205,116078605.71823,1293425,12753961890.83307481518927088315,20.701034052124
2021-05-30 00:00:00+00:00,eth,736524,1.598465729875,277658738969.7621562186594425,574.04441024,25.100627364359,2391.71209117475,116092041.34323,1280282,11061824668.3355918701366516555,20.761088536459
2021-05-31 00:00:00+00:00,eth,736541,1.752066394118,313393461758.5947444088913976,569.66749498,30.725365581751,2699.21445762712,116105432.40573,1297889,10199828572.413542452730524077496,20.8083393948
2021-06-01 00:00:00+00:00,eth,680280,1.715049341309,304951619937.3480425645563166,560.15974214,24.458356786178,2626.20154821742,116118894.28073,1274354,12468197377.41697469174787143704,20.862329222364
2021-06-02 00:00:00+00:00,eth,650349,1.755794836943,315085942974.527089284700605,570.47279616,29.220200231978,2713.1598679135,116132464.84323,1314178,10783154820.058393833741717623,20.889428622922
2021-06-03 00:00:00+00:00,eth,687298,1.825083531496,332014613003.4014019208142472,569.889071,30.724880144196,2858.60099824664,116145839.59323,1337711,10806050713.46792170456298195704,20.928747183796
2021-06-04 00:00:00+00:00,eth,713691,1.737724693608,312384988909.1042554958302091,584.27111373,28.799178835996,2689.27742548217,116159450.84323,1301803,10847010280.676879736344160606609,20.979492427103
2021-06-05 00:00:00+00:00,eth,829614,1.694858116047,302626740403.9037474734387563,585.2283072,40.470255059857,2604.97053763881,116172807.34323,1176676,7477757181.32517742562910466803,21.021683893309
2021-06-06 00:00:00+00:00,eth,809211,1.745791664095,314411835453.4559127613329981,591.30271978,55.046083287589,2706.09854120397,116186395.53073,1134526,5711793040.947308243545472491449,21.057364176232
2021-06-07 00:00:00+00:00,eth,657176,1.695365065498,302137965637.2738522335194084,587.58137089,31.0076922776,2600.15911221508,116199798.78073,1225549,9743968139.65872641854834885366,21.113597528351
2021-06-08 00:00:00+00:00,eth,616660,1.660146534611,292747938419.2587086002969227,591.80990732,20.757543147445,2519.05763530099,116213275.28073,1221063,14103207510.62965707293039135312,21.185795420047
2021-06-09 00:00:00+00:00,eth,627838,1.705478709862,302843881010.6968089191184414,580.11494615,24.322544948454,2605.63110461718,116226690.90573,1194275,12451159270.23697525544987315628,21.240333249061
2021-06-10 00:00:00+00:00,eth,656459,1.644701983094,288435863801.0727096233536759,568.36394644,33.077112049005,2481.38075686733,116240066.34323,1188556,8720104202.983187154527583834111,21.28255901027
2021-06-11 00:00:00+00:00,eth,614211,1.576253300776,272618146269.7652741941796772,568.9893852,31.495644814936,2345.03141963764,116253515.40573,1183286,8655741067.42807263978627204224,21.323957458626
2021-06-12 00:00:00+00:00,eth,692247,1.595480101375,276812954830.6025756854318681,558.30088567,44.529830687948,2380.84033372297,116266912.53073,1131777,6216348693.76502362246277163437,21.362289670128
2021-06-13 00:00:00+00:00,eth,673559,1.661116330873,291241153549.0829097646124736,553.99026151,51.743229580754,2504.64639216832,116280347.78073,1124736,5628584761.88760653244943066048,21.404201048502
2021-06-14 00:00:00+00:00,eth,633811,1.694667832627,299694443404.5556504935580374,546.0858312,36.503831077332,2577.04473863238,116293845.78073,1188556,8209944944.39953905838689455439,21.441980975155
2021-06-15 00:00:00+00:00,eth,626558,1.682604397241,296902728099.7928872507466658,567.10531909,33.977446802882,2552.74103641146,116307421.65573,1224101,8738229503.30129836179168274368,21.475698089919
2021-06-16 00:00:00+00:00,eth,589164,1.585556235006,274633215965.7610887773302152,549.94703156,25.934532018209,2360.99938690824,116320748.53073,1201109,10589480302.6690594541917539312,21.531396901773
2021-06-17 00:00:00+00:00,eth,585530,1.591503790321,275524740650.4487376558769495,548.34712391,18.981243139783,2368.38859555815,116334262.53073,1218956,14515632017.42918161499707134645,21.617019829738
2021-06-18 00:00:00+00:00,eth,576902,1.519823326123,258823913749.0470712021755384,556.41927259,14.893190445582,2224.57531969608,116347561.46823,1170182,17378674817.5124333222950948062,21.743966563141
2021-06-19 00:00:00+00:00,eth,578685,1.492998891891,253056673734.0687136292947245,533.78682894,38.003475918192,2174.75470251315,116361019.21823,1050189,6658777062.361612260756188697105,21.779438495931
2021-06-20 00:00:00+00:00,eth,641786,1.531482915103,260988781493.3097259798323651,525.11271324,42.675207902327,2242.66345575687,116374474.65573,1057288,6115700293.497002923290644862672,21.823837631593
2021-06-21 00:00:00+00:00,eth,643760,1.343369961344,221182330319.3215482053998918,499.6580036,18.683147633641,1900.39307790766,116387674.15573,1209567,11838601003.24125330972363240155,21.892435704851
2021-06-22 00:00:00+00:00,eth,665961,1.335033727237,217393580268.3701771133568812,489.14823162,14.097746303582,1867.62379953244,116401161.90573,1297644,15420449168.75400599140474430808,21.973255784176
2021-06-23 00:00:00+00:00,eth,629109,1.399921329558,228418205199.6181621337519346,474.12820997,31.238950628358,1962.11004383402,116414574.15573,1201974,7311967931.2231152259066798804,22.003072843394
