Date,ROC_14
2015-03-29,-15.251771948829528
2015-03-30,-14.820380369330799
2015-03-31,-14.45894302273264
2015-04-01,-3.5220611912544664
2015-04-02,-3.0364712590130516
2015-04-03,-2.8374462552373747
2015-04-04,-2.433607593891518
2015-04-05,-2.747424707892321
2015-04-06,-4.216835278429743
2015-04-07,3.088414653847149
2015-04-08,-0.4772612872473436
2015-04-09,-1.953874365907593
2015-04-10,-4.435511899215938
2015-04-11,-6.426475582457513
2015-04-12,-2.7027794477771816
2015-04-13,-9.2673072353316
2015-04-14,-10.263119964717305
2015-04-15,-9.479039161582703
2015-04-16,-9.656728727560148
2015-04-17,-12.362281382760099
2015-04-18,-11.959543188302357
2015-04-19,-14.581073978497871
2015-04-20,-12.081003129945323
2015-04-21,-7.074412076470837
2015-04-22,-4.426544500985063
