Date,TSI_13_25_13
2015-05-02,-9.756527406387022
2015-05-03,-6.733071411497624
2015-05-04,-4.622497957289453
2015-05-05,-3.5799865727888873
2015-05-06,-4.196680956318054
2015-05-07,-2.8224062986241694
2015-05-08,-0.17178865570459825
2015-05-09,1.4333999611981432
2015-05-10,2.344564842767103
2015-05-11,3.5157992965955445
2015-05-12,4.207665963633305
2015-05-13,3.5514760030617243
2015-05-14,3.1480460113420454
2015-05-15,2.9832610718653556
2015-05-16,2.4453300644503364
2015-05-17,2.1674966321659537
2015-05-18,0.8663926006039748
2015-05-19,-0.5741097377712008
2015-05-20,-1.155526547740864
2015-05-21,-1.2265330914713528
2015-05-22,0.3263739455338482
2015-05-23,1.1280835993565679
2015-05-24,2.4783486268504604
2015-05-25,2.2551133497394558
2015-05-26,2.0730474236963397
