Date,TSI_13_25_13
2018-12-29,9.784056823051818
2018-12-30,11.920617177874586
2018-12-31,12.326115232084575
2019-01-01,13.73762694203896
2019-01-02,16.836379677508813
2019-01-03,18.078654816178467
2019-01-04,19.751536446650213
2019-01-05,21.199476314250177
2019-01-06,22.625384682309384
2019-01-07,22.562509147459828
2019-01-08,22.239487339878576
2019-01-09,22.032444672309904
2019-01-10,17.315971557580987
2019-01-11,13.392766540134955
2019-01-12,9.942480371208127
2019-01-13,5.468497646436354
2019-01-14,3.8929670945762775
2019-01-15,1.4287539866742716
2019-01-16,-0.26274749429974303
2019-01-17,-1.590514056480869
2019-01-18,-3.143368312229646
2019-01-19,-3.7729561040913584
2019-01-20,-5.168099861566356
2019-01-21,-6.720659335739371
2019-01-22,-7.6848877535076605
2019-01-23,-8.723138360556636
2019-01-24,-9.615009942403182
2019-01-25,-10.56003388063407
2019-01-26,-11.342901071071365
2019-01-27,-12.63572784352773
2019-01-28,-15.119079917055428
2019-01-29,-17.404437740739485
2019-01-30,-18.360228948414953
2019-01-31,-19.54629459149642
2019-02-01,-20.37296982704339
2019-02-02,-20.146136220369545
2019-02-03,-20.61319475079005
2019-02-04,-20.891393323221315
2019-02-05,-21.217754518899536
2019-02-06,-22.114643715186933
2019-02-07,-22.974293190961276
2019-02-08,-17.849086448521263
2019-02-09,-13.732403389531179
2019-02-10,-8.487812382953152
2019-02-11,-5.387978836728691
2019-02-12,-2.490997709661195
2019-02-13,-0.15644057101684677
2019-02-14,1.3666080603686186
2019-02-15,2.8671785171556547
2019-02-16,4.5156521542763075
2019-02-17,9.32702230968472
2019-02-18,16.839506455869447
2019-02-19,22.175830243925617
2019-02-20,27.319104553494476
2019-02-21,29.852990248977708
2019-02-22,32.47593653702757
2019-02-23,36.51677996959733
2019-02-24,30.37548951978652
2019-02-25,26.889215218186326
2019-02-26,23.809286839122382
2019-02-27,20.896131901080704
2019-02-28,18.78826649445817
2019-03-01,17.038300391892243
2019-03-02,14.96770942324816
2019-03-03,12.712326676995163
2019-03-04,9.568853752656965
2019-03-05,9.437312010811247
2019-03-06,9.561680367930249
2019-03-07,9.443836133387492
2019-03-08,8.501264615714648
2019-03-09,8.437017428995496
2019-03-10,8.025060897337312
2019-03-11,6.803539382463691
2019-03-12,5.958607671451058
2019-03-13,4.8874833501719674
2019-03-14,4.11825242676112
2019-03-15,4.662427175461359
2019-03-16,6.5310798984614875
2019-03-17,7.237126695270575
2019-03-18,7.597083126782377
2019-03-19,8.252878939171238
2019-03-20,8.855510866355946
2019-03-21,7.7882789353350645
2019-03-22,7.085015210439374
2019-03-23,6.86682815506425
2019-03-24,6.163299609540001
2019-03-25,4.743273870910624
2019-03-26,3.718436060012143
2019-03-27,5.097540223005471
2019-03-28,5.519401036078528
2019-03-29,7.113990351736359
2019-03-30,8.222358039806295
2019-03-31,8.855385651283362
2019-04-01,9.515476335078176
2019-04-02,18.658205648638887
2019-04-03,23.88537571209272
2019-04-04,26.00289423490093
2019-04-05,29.61244797386235
2019-04-06,32.37065484852184
2019-04-07,36.44578628398381
2019-04-08,40.64571197428446
2019-04-09,41.8321104442921
2019-04-10,42.95038402168349
2019-04-11,38.58544035143421
2019-04-12,35.02838822286468
2019-04-13,32.208170455687785
2019-04-14,30.672470558700258
2019-04-15,27.076677165373244
2019-04-16,25.580506013932737
2019-04-17,24.175497077787874
2019-04-18,24.56065711527764
2019-04-19,24.825081747440773
2019-04-20,25.046614304591078
2019-04-21,23.87468382973298
2019-04-22,23.33636895314997
2019-04-23,22.736286709049367
2019-04-24,20.13922801226635
2019-04-25,13.984821222408325
2019-04-26,9.70363386748715
2019-04-27,6.902319236247793
2019-04-28,4.303393209550609
2019-04-29,1.5456719271151145
2019-04-30,1.4265630698007732
2019-05-01,0.9145662755910298
2019-05-02,0.9017687998357296
2019-05-03,2.679642562640543
2019-05-04,2.8416391448931515
2019-05-05,2.785935699575046
2019-05-06,5.511127568163297
2019-05-07,6.706510703621554
2019-05-08,7.980645044952626
2019-05-09,8.781111656575098
2019-05-10,10.250545509361439
2019-05-11,17.100367002193373
2019-05-12,19.694636094065718
2019-05-13,23.660972353403352
2019-05-14,30.34514052193505
