Date,ROC_14
2018-05-24,-17.25917041196373
2018-05-25,-13.663022801621905
2018-05-26,-14.396652820667033
2018-05-27,-21.926220202883407
2018-05-28,-29.363259243396612
2018-05-29,-20.241056224263044
2018-05-30,-20.85566275407391
2018-05-31,-14.124875611563937
2018-06-01,-16.464488280897637
2018-06-02,-15.034821420455946
2018-06-03,-13.565032510864173
2018-06-04,-15.193601213783358
2018-06-05,-5.934169264942712
2018-06-06,4.033516987692676
2018-06-07,0.5703329380700284
2018-06-08,2.4445518377987696
2018-06-09,1.7507802908789172
2018-06-10,-8.065584872967314
2018-06-11,3.342399683808117
2018-06-12,-12.123535165231669
2018-06-13,-14.6707473398199
2018-06-14,-10.02397908667162
2018-06-15,-15.350418399131517
2018-06-16,-15.573629901508102
2018-06-17,-19.06444384842586
