Date,STOCHd_14_3_3
2018-05-26,-52.93050086818909
2018-05-27,-36.085751478825664
2018-05-28,-26.58034617676772
2018-05-29,-28.15644890185688
2018-05-30,-32.319481668342405
2018-05-31,-30.722015624037592
2018-06-01,-22.745363684334112
2018-06-02,-12.385293019778887
2018-06-03,-3.0668223378580364
2018-06-04,4.299231993322922
2018-06-05,10.899280731981412
2018-06-06,18.815267494077197
2018-06-07,30.09172606257273
2018-06-08,43.1823291310073
2018-06-09,52.395820294692896
2018-06-10,34.54014708269082
2018-06-11,4.58880733172132
2018-06-12,-37.967911216376535
2018-06-13,-48.39503417458033
2018-06-14,-50.59315298918904
2018-06-15,-35.62274942220063
2018-06-16,-28.2722685303447
2018-06-17,-17.629595882387633
2018-06-18,-11.264593326414976
2018-06-19,-4.980882561501121
