time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,ETH_Trends,RSI_14,ROC_14,MFI_14,TSI_13_25_13,TSIs_13_25_13
2017-05-04,eth,53852.0,2.60551357,8715866609.781202,21.999071709678503,15.7408848,95.44619799707769,91317064.40573001,114877.0,553708811.3373905,19.296838489718198,28.0,84.45309930217941,93.42962800304831,88.9562288511434,54.17939220232939,37.391560127685544
2017-05-05,eth,51379.0,2.35578304,8336483822.459814,22.977705895564398,12.87134673,91.2619477144945,91346766.43698001,108514.0,647677667.2045895,19.5547512360797,34.0,77.8840598831458,87.99782718750878,91.68554051577242,54.593617306256256,39.84899686748137
2017-05-06,eth,46305.0,2.41495519,8728299906.239843,22.9532635128021,22.37302514,95.5202134447691,91376469.87448001,95014.0,390126049.1543656,19.7006083585217,20.0,79.62130991805087,96.49247798399321,86.25876821680912,55.579939072589596,42.09627432535397
2017-05-07,eth,53043.0,1.94535437,7004974186.308528,23.398529194482396,20.48399345,76.6355311633548,91406350.03073001,106631.0,341973072.8830478,19.8989275354761,17.0,57.899596941495425,56.81253853151616,79.67141504374946,46.64331989023054,42.74585226319349
2017-05-08,eth,58390.0,2.23124645,8174058665.60708,23.096777185472003,19.52565528,89.39672222443008,91435775.96823001,117509.0,418631720.68973,20.0954281336428,27.0,64.87336517779879,78.41784557792717,72.60291459486791,42.803389084949295,42.7540718091586
2017-05-09,eth,57329.0,2.03213949,7885864294.452501,23.9989064251705,18.19334123,86.2167880181181,91465530.96823001,112933.0,433447830.9194628,20.2903711958113,26.0,62.1123376429441,71.42244610796959,64.04390283698245,38.961211794316476,42.21223466418115
2017-05-10,eth,57321.0,2.06378226,8056090251.180756,23.774825990629996,21.31826495,88.0493733267096,91495145.81198001,109673.0,377896150.177312,20.4712751282727,21.0,63.087350362110755,64.55726977544367,64.99251053469129,36.54360940157861,41.40243105523794
2017-05-11,eth,58056.0,2.0574029,8076140529.564129,24.371496233529,21.17410998,88.23983707247221,91524880.34323001,117189.0,381415820.40039885,20.6872065180918,22.0,63.19336635208537,39.214744459070346,64.73299708505508,34.7900791476123,40.457809354148566
2017-05-12,eth,52550.0,1.98227911,7826566214.557831,24.9719029858253,21.00708367,85.485073163647,91554770.03073001,107241.0,372567955.6148598,20.8499155404211,18.0,60.48742728790011,16.639961319366492,58.58815646226062,32.50720428659475,39.32200863021231
2017-05-13,eth,48670.0,2.0384694,8085337507.628942,24.5002161262861,30.301536699999996,88.2832749123319,91584023.31198001,101332.0,266829289.50479934,20.8950269426901,18.0,62.2554198851369,25.262979342223808,58.06717050135973,31.22026926068729,38.164617291708744
2017-05-14,eth,50833.0,2.05473122,8197463460.775058,25.3077394539546,24.71656324,89.4800016691993,91612240.81198001,101348.0,331658709.2454238,20.964091505722898,15.0,63.01757123741454,11.149720519734952,56.22164938363985,30.41717744331952,37.05784017051028
2017-05-15,eth,61036.0,2.06074936,8325686345.253257,25.8896704188775,21.01576525,90.85140181765051,91640703.15573001,122792.0,396163843.98091435,21.1370142535788,22.0,63.91675021562511,15.932669873956408,53.81310725844958,30.019387729692504,36.05234696467917
2017-05-16,eth,61723.0,1.99102441,8090584784.587438,26.3521404465894,21.43313789,88.25827288252479,91669421.12448001,116341.0,377480181.64186025,21.3574253193507,18.0,60.90150032853003,13.65022459386227,54.0575168650865,28.82429450300807,35.0197680415833
2017-05-17,eth,68437.0,1.94071806,7962266860.435524,25.1510100670686,18.80780194,86.8320563541789,91697320.03073001,140135.0,423349144.38504577,21.5118832730878,19.0,59.24605775762986,6.995258524418935,48.48085589049119,27.367571210006837,33.926597065643804
2017-05-18,eth,68814.0,2.10554891,8790581923.434126,26.201691944586,30.46706436,95.83543393045,91725800.81198001,137409.0,288527369.0349853,21.594092772810196,16.0,65.60254426813772,0.4078066403276015,45.19576451680286,27.919234583854003,33.068402425388115
2017-05-19,eth,84077.0,2.5968212000000004,11433323141.560421,27.0958559426814,17.63504397,124.60819642898899,91754182.06198001,161568.0,648329721.2437218,21.7367111465431,37.0,77.61740464114541,36.539050008899096,53.73712018350962,33.466442164873015,33.12526524531453
2017-05-20,eth,69003.0,2.54396639,11438048169.427814,27.9406740504362,29.08639126,124.62077775686701,91782834.09323001,130912.0,393243976.7512908,21.8161529925677,31.0,77.62108560053272,30.46534682308284,62.73096129617485,37.44467867368729,33.74232430651064
2017-05-21,eth,73366.0,2.66277701,13563472982.445415,28.4009273934968,18.94311022,147.731762711864,91811488.15573001,149699.0,716010877.9237509,21.9505437468886,37.0,83.1144885822255,92.77189114402023,74.06817731785219,43.495196934775045,35.13559182483413
2017-05-22,eth,89303.0,2.63355833,14109864879.79998,29.3084589124539,12.43075401,153.63485777557,91840257.37448001,176255.0,1135077153.8677223,22.2364019213631,80.0,84.18252395127523,71.85737234288115,86.57574148853406,48.42790953444132,37.03449435477801
2017-05-23,eth,101993.0,2.78103576,15532852746.669052,28.141870320043502,21.09483906,169.076412100526,91868833.46823001,187121.0,736334261.6703278,22.3973484780348,65.0,86.5746915729562,96.10613662039385,93.07181855549341,53.4855957613703,39.38465169857691
