Date,STOCHk_14_3_3,STOCHd_14_3_3
2015-03-17,34.15262860092498,41.8930426417717
2015-03-18,-22.8988381863167,17.31217920274855
2015-03-19,-53.431893115342426,-14.059367566911389
2015-03-20,-70.71837756245522,-49.01636962137146
2015-03-21,-27.84483471793493,-50.66503513191086
2015-03-22,-14.196065578088486,-37.58642595282621
2015-03-23,-9.36436386010071,-17.13508805204138
2015-03-24,-20.573639796923498,-14.711356411704235
2015-03-25,-27.387194514598914,-19.10839939054104
2015-03-26,-30.39722021467978,-26.119351508734066
2015-03-27,-16.006498412002212,-24.596971047093636
2015-03-28,-8.434982807801559,-18.27956714482785
2015-03-29,-11.699637115536476,-12.047039445113418
2015-03-30,-17.654681080299877,-12.596433667879305
2015-03-31,-26.256213655471047,-18.5368439504358
2015-04-01,-29.958491912337013,-24.623128882702645
2015-04-02,-24.270574211250363,-26.828426593019472
2015-04-03,-6.804120079521414,-20.344395401036262
2015-04-04,9.422607284235182,-7.217362335512196
2015-04-05,20.53262879826029,7.717038667658021
2015-04-06,31.408154822408232,20.454463634967905
2015-04-07,37.50497437890946,29.815252666525993
2015-04-08,21.372954812256967,30.09536133785822
2015-04-09,-12.049228801908962,15.609566796419152
2015-04-10,-45.495307689873265,-12.05719389317509
2015-04-11,-45.49078120719116,-34.3451058996578
2015-04-12,-36.19542195611784,-42.393836951060756
2015-04-13,-35.70022835715903,-39.12881050682268
2015-04-14,-35.3108214494399,-35.735490587572265
2015-04-15,-33.84127698318222,-34.95077559659372
2015-04-16,-12.720999771093426,-27.291032734571854
2015-04-17,-6.338428024981181,-17.63356825975228
2015-04-18,-4.319292923141528,-7.792906906405384
2015-04-19,-5.93267032490149,-5.5301304243414044
2015-04-20,-6.326279672879468,-5.526080973640834
2015-04-21,-2.909066545677162,-5.056005514486045
2015-04-22,14.82697299886703,1.8638755934367943
2015-04-23,41.48103704180921,17.799647831666352
2015-04-24,56.731389346379785,37.679799795685334
2015-04-25,47.141709768053175,48.45137871874738
2015-04-26,-1.0508682514348588,34.27407695433269
2015-04-27,-32.372508709376994,4.572777602413763
2015-04-28,-40.99816562598116,-24.807180862264346
2015-04-29,-19.783084425672538,-31.051252920343572
2015-04-30,-2.5900759900146055,-21.123775347222775
2015-05-01,20.731089897381008,-0.5473568394353864
2015-05-02,42.910088377245984,20.35036742820412
2015-05-03,59.45244072713022,41.031206333919066
2015-05-04,65.14940818756367,55.83731243064661
2015-05-05,58.10011420267736,60.90065437245707
2015-05-06,45.38293145724387,56.21081794916162
2015-05-07,22.429304344321082,41.97078333474743
2015-05-08,28.11282509897278,31.975020300179235
2015-05-09,47.44103525011582,32.66105489780322
2015-05-10,66.79154556261717,47.448468637235244
2015-05-11,72.85258279867521,62.36172120380272
2015-05-12,73.71652903576025,71.12021913235087
2015-05-13,47.523820914957525,64.69764424979765
2015-05-14,16.239077163349606,45.82647570468911
2015-05-15,-5.260618175856046,19.50075996748368
2015-05-16,-7.680781302337077,1.099225895052147
2015-05-17,-2.8363394550951924,-5.25924631109612
2015-05-18,-25.1809777965901,-11.899366184674136
2015-05-19,-27.977324283620977,-18.664880511768768
2015-05-20,-33.904676592728634,-29.020992890979915
2015-05-21,-17.020170704177765,-26.300723860175804
2015-05-22,-5.225292795888172,-18.71671336426487
2015-05-23,21.599717270986613,-0.21524874302645358
2015-05-24,42.08396382300648,19.486129432701627
2015-05-25,50.20417263227066,37.962617908754574
2015-05-26,38.85578042129404,43.71463895885705
2015-05-27,31.92302875546893,40.3276606030112
2015-05-28,32.274801840203416,34.35120367232212
2015-05-29,32.46593184379163,32.22125414648798
2015-05-30,9.683413794938733,24.80804915964458
2015-05-31,-18.631220124262317,7.839375171489333
2015-06-01,-63.953360204852906,-24.300388844725514
2015-06-02,-62.80289262974795,-48.46249098628774
2015-06-03,-52.444826623321454,-59.73369315264079
2015-06-04,-20.28157614972871,-45.176431800932725
2015-06-05,-17.320456477075968,-30.01561975004206
2015-06-06,-14.552072414226645,-17.384701680343788
2015-06-07,-17.882120272401142,-16.584883054567932
2015-06-08,-19.890947292935284,-17.441713326521036
2015-06-09,-10.656684299467257,-16.14325062160124
2015-06-10,4.62262946511622,-8.64166737576212
2015-06-11,21.765750529704704,5.243898565117877
2015-06-12,31.172959485787146,19.187113160202678
2015-06-13,42.05216213715786,31.663624050883225
2015-06-14,59.89843645990612,44.374519360950366
2015-06-15,67.31279191839059,56.421130171818184
2015-06-16,63.67407905317645,63.62843581049105
2015-06-17,64.38001167405075,65.12229421520591
2015-06-18,65.62862688196685,64.56090586973134
2015-06-19,75.7771889456139,68.59527583387715
2015-06-20,67.77161127767168,69.72580903508413
2015-06-21,62.71389539782195,68.7542318737025
2015-06-22,60.89019599156487,63.79190088901948
2015-06-23,62.491887426137076,62.03199293850795
2015-06-24,59.72091797797804,61.03433379855998
2015-06-25,53.262377451102175,58.49172761840575
2015-06-26,48.447510693227265,53.8102687074358
2015-06-27,48.96924182029644,50.226376654875274
2015-06-28,57.65136466982275,51.6893723944488
2015-06-29,54.12911712236244,53.58324120416052
2015-06-30,58.36390002779209,56.714793939992404
2015-07-01,55.051567019181185,55.84819472311188
2015-07-02,60.52011677817463,57.97852794171595
2015-07-03,56.39820655093195,57.323296782762576
2015-07-04,53.74031091201156,56.88621141370603
2015-07-05,53.454729962810895,54.531082475251445
2015-07-06,64.57959423327391,57.25821170269876
2015-07-07,71.3026229237965,63.11231570662708
2015-07-08,77.93289990542554,71.27170568749864
2015-07-09,77.25007458821611,75.49519913914604
2015-07-10,69.60193587843045,74.92830345735736
2015-07-11,70.76303155571043,72.53834734078565
2015-07-12,65.0971757917981,68.48738107531297
2015-07-13,62.50211984072896,66.12077572941247
2015-07-14,55.10503177467451,60.90144246906717
2015-07-15,50.68165696003113,56.09626952514484
2015-07-16,47.10540663983534,50.964031791513634
2015-07-17,35.92823883896454,44.571767479610315
2015-07-18,20.70275975255988,34.57880174378657
2015-07-19,10.43564176393138,22.35554678515192
2015-07-20,4.659375145658294,11.932592220716506
2015-07-21,5.021636725458368,6.705551211682668
2015-07-22,5.8032353306682225,5.161415733928282
2015-07-23,4.481454327726013,5.102108794617521
2015-07-24,1.4195425894149762,3.9014107492697243
2015-07-25,9.434495882522134,5.111830933221028
2015-07-26,32.96872400891072,14.607587493615931
2015-07-27,55.233440413689976,32.54555343504094
2015-07-28,76.9976251752068,55.06659653260249
2015-07-29,76.71248437896689,69.64784998928788
2015-07-30,74.20872294588428,75.97294416668598
2015-07-31,54.52004405753326,68.48041712746146
2015-08-01,35.56709448408808,54.765287162501856
2015-08-02,15.927683099255354,35.33827388029221
2015-08-03,9.172382661266512,20.2223867482033
2015-08-04,11.910663495737168,12.336909752086328
2015-08-05,19.082291893273084,13.388446016758905
2015-08-06,4.651512923906843,11.881489437639017
2015-08-07,-11.988269938022173,3.9151782930525694
2015-08-08,-63.06987476177894,-23.468877258631437
2015-08-09,-61.687395342548996,-45.58184668078338
2015-08-10,-57.48218505660176,-60.74648505364325
2015-08-11,-17.59278947586949,-45.58745662500676
2015-08-12,-12.117563626848243,-29.064179386439843
2015-08-13,-12.71446256831743,-14.141605223678399
2015-08-14,-16.767938968070016,-13.866655054411908
2015-08-15,-22.96604605472665,-17.48281586370471
2015-08-16,-24.913476596636595,-21.549153873144434
2015-08-17,-21.136774912916934,-23.00543252142674
2015-08-18,-77.93190134998174,-41.32738428651177
2015-08-19,-81.60389974812746,-60.2241920036754
2015-08-20,-85.297172081522,-81.6109910598771
2015-08-21,-24.45794879162524,-63.78634020709159
2015-08-22,-24.41325307156316,-44.722791314903496
2015-08-23,-22.453095443702964,-23.774765768963814
2015-08-24,-31.79349698170903,-26.21994849899174
2015-08-25,-42.52964605246617,-32.25874615929274
2015-08-26,-41.40725406965489,-38.57679903461005
2015-08-27,-29.678185192010194,-37.87169510471043
2015-08-28,-12.518360244277241,-27.867933168647458
2015-08-29,-6.292867046228694,-16.16313749417206
2015-08-30,-4.137512862858615,-7.649580051121533
2015-08-31,-0.5318524405074294,-3.6540774498649298
2015-09-01,0.41306662381357356,-1.418766226517507
2015-09-02,1.0595591150458956,0.31359109945066316
2015-09-03,4.404420516325158,1.959015418394859
2015-09-04,7.209252275158754,4.224410635509919
2015-09-05,18.605104486193984,10.072925759225948
2015-09-06,37.37210958194317,21.06215544776529
2015-09-07,63.13828280706513,39.705165625067416
2015-09-08,75.75507584792108,58.75515607897645
2015-09-09,75.5867272853181,71.49336198010143
2015-09-10,59.752310235724146,70.36470445632109
2015-09-11,55.939561919686156,63.759533146909455
2015-09-12,47.752717308435656,54.481529821281974
2015-09-13,32.376343787292946,45.3562076718049
2015-09-14,7.694163288160894,29.274408127963152
2015-09-15,-4.0469983369279605,12.007836246175279
2015-09-16,-8.641599436385222,-1.6648114950507782
2015-09-17,-8.12829483638257,-6.938964203231933
2015-09-18,-3.8908824133537134,-6.886925562040517
2015-09-19,3.3653278002263236,-2.8846164831700016
2015-09-20,8.329573259732557,2.601339548868374
2015-09-21,-5.842487558103687,1.950804500618383
2015-09-22,-25.39307578901604,-7.635330029129072
2015-09-23,-29.312168558524387,-20.182577301881384
2015-09-24,-19.86021978639597,-24.85515471131215
2015-09-25,20.595334780892017,-9.525684521342797
2015-09-26,44.03176913344611,14.922294709314036
2015-09-27,59.02836008141347,41.218487998583846
2015-09-28,44.32361202984967,49.1279137482364
2015-09-29,44.479856200844175,49.27727610403576
2015-09-30,49.56149155496008,46.121653261884624
2015-10-01,59.85218967532361,51.29784581037594
2015-10-02,61.268821816602745,56.89416768229546
2015-10-03,65.24501841408339,62.12200996866991
2015-10-04,75.02000945614769,67.17794989561126
2015-10-05,72.64362343801567,70.96955043608223
2015-10-06,68.00284401241773,71.888825635527
2015-10-07,63.00973895749641,67.88540213597658
2015-10-08,64.84353847179453,65.28537381390286
2015-10-09,67.34273190359735,65.06533644429607
2015-10-10,68.75557138481554,66.9806139200691
2015-10-11,69.60816006020532,68.56882111620604
2015-10-12,74.3001630706174,70.88796483854605
2015-10-13,66.65452862385835,70.18761725156033
2015-10-14,69.42881243875719,70.12783471107763
2015-10-15,71.31953345134447,69.13429150465332
2015-10-16,75.1288665056137,71.95907079857176
2015-10-17,74.0169030244911,73.48843432714973
2015-10-18,67.9549522945065,72.36690727487041
2015-10-19,68.19917918810354,70.05701150236702
2015-10-20,67.55052069281582,67.90155072514193
2015-10-21,69.83308002692809,68.5275933026158
2015-10-22,73.23638913986686,70.20666328653691
2015-10-23,79.43476526758933,74.16807814479473
2015-10-24,83.02930236326524,78.56681892357379
2015-10-25,89.79752418180193,84.08719727088548
2015-10-26,88.40121134650424,87.07601263052378
2015-10-27,85.98307764585111,88.06060439138572
2015-10-28,80.56192780835758,84.98207226690428
2015-10-29,76.9362857287448,81.1604303943178
2015-10-30,76.91901257161753,78.13907536957328
2015-10-31,74.49927315955001,76.11819048663743
2015-11-01,74.16830561468815,75.19553044861856
2015-11-02,67.5909484019874,72.08617572540851
2015-11-03,65.986656861845,69.24863695950684
2015-11-04,66.84180762513628,66.80647096298955
2015-11-05,71.5661709195333,68.13154513550485
2015-11-06,68.29829390834222,68.90209081767058
2015-11-07,65.62302803535668,68.49583095441072
2015-11-08,63.5843462589217,65.83522273420685
2015-11-09,64.29018168558333,64.49918532662055
2015-11-10,48.50198611900206,58.79217135450235
2015-11-11,20.35514597213995,44.3824379255751
2015-11-12,-4.509967867898573,21.44905474108113
2015-11-13,-12.278577520941056,1.1888668611000928
2015-11-14,-5.159075103432965,-7.315873497424213
2015-11-15,-7.006885850265781,-8.148179491546616
2015-11-16,-13.008715485025462,-8.391558812908084
2015-11-17,-14.83791024134245,-11.617837192211246
2015-11-18,-7.993715097478732,-11.946780274615563
2015-11-19,-5.298540325917869,-9.376721888246365
2015-11-20,-12.378350788117336,-8.556868737171326
2015-11-21,-16.041935683621276,-11.239608932552175
2015-11-22,-15.412964034321979,-14.611083502020213
2015-11-23,-17.28395019252974,-16.246283303491012
2015-11-24,-23.930648690735648,-18.87585430586247
2015-11-25,-34.58558420374511,-25.26672769567018
2015-11-26,-18.977715084155008,-25.8313159928786
2015-11-27,15.5729884039661,-12.66343696131135
2015-11-28,57.19966315015284,17.931645489987964
2015-11-29,73.9152196484847,48.89595706753454
2015-11-30,79.34530279476537,70.15339519780098
2015-12-01,72.18684274506042,75.14912172943683
2015-12-02,65.87480603726289,72.46898385902955
2015-12-03,57.90681741395296,65.32282206542541
2015-12-04,57.411698579142296,60.39777401011937
2015-12-05,61.512041167763044,58.94351905361942
2015-12-06,72.80104342833057,63.90826105841196
2015-12-07,81.39106843219275,71.90138434276211
2015-12-08,84.52422272254142,79.57211152768824
2015-12-09,78.99002795737935,81.63510637070449
2015-12-10,80.19133336274601,81.23519468088891
2015-12-11,76.84583230490706,78.67573120834413
2015-12-12,68.01283058452731,75.01666541739344
2015-12-13,61.92954966575883,68.92940418506439
2015-12-14,67.17091577148025,65.70443200725545
2015-12-15,75.54557112403786,68.21534552042563
2015-12-16,78.05435438460583,73.59028042670796
2015-12-17,80.64635163217575,78.08209238027314
2015-12-18,82.99880560623821,80.56650387433992
2015-12-19,85.66452609566988,83.10322777802794
2015-12-20,75.25176573373746,81.30503247854851
2015-12-21,54.370248826926684,71.762180218778
2015-12-22,37.047837005132806,55.55661718859898
2015-12-23,31.967054328983924,41.128380053681134
