Date,MFI_14
2015-03-28,40.92803767406063
2015-03-29,36.74750418736992
2015-03-30,30.70741105071262
2015-03-31,30.899141056737626
2015-04-01,40.407153510178524
2015-04-02,51.80952454441532
2015-04-03,52.41225900063324
2015-04-04,53.22385585686648
2015-04-05,53.31681315105604
2015-04-06,46.44536649476991
2015-04-07,49.75077713942759
2015-04-08,50.613012293617956
2015-04-09,42.70757800051985
2015-04-10,35.62863338313393
2015-04-11,30.40706591266129
2015-04-12,31.400028409531856
2015-04-13,30.790499442438502
2015-04-14,30.21853898184082
2015-04-15,29.666612443509667
2015-04-16,28.773646567898904
2015-04-17,21.30529050997777
2015-04-18,21.386994035846378
2015-04-19,19.521993008757082
2015-04-20,25.630631070541366
2015-04-21,33.29075379984293
2015-04-22,42.179754752084364
2015-04-23,48.77971702073215
