Date,S&P_Close,S&P_Daily_Ret,DJI_Close,DJI_Daily_Ret,NDX_Close,NDX_Daily_Ret,ETH_Close,ETH_Daily_Ret,BTC_Close,BTC_Daily_Ret
2018-07-19,2804.49,-0.0,25064.5,-0.01,7352.36,-0.01,469.62,-0.02,7466.86,0.01
2018-07-20,2801.83,-0.0,25058.12,-0.0,7350.23,-0.0,450.7,-0.04,7354.13,-0.02
2018-07-21,2801.83,0.0,25058.12,0.0,7350.23,0.0,462.44,0.03,7419.29,0.01
2018-07-22,2801.83,0.0,25058.12,0.0,7350.23,0.0,459.66,-0.01,7418.49,-0.0
2018-07-23,2806.98,0.0,25044.29,-0.0,7371.78,0.0,450.85,-0.02,7711.11,0.04
2018-07-24,2820.4,0.0,25241.94,0.01,7406.25,0.0,479.37,0.06,8424.27,0.09
2018-07-25,2846.07,0.01,25414.1,0.01,7508.59,0.01,472.49,-0.01,8181.39,-0.03
2018-07-26,2837.44,-0.0,25527.07,0.0,7400.75,-0.01,464.04,-0.02,7951.58,-0.03
2018-07-27,2818.82,-0.01,25451.06,-0.0,7296.78,-0.01,469.67,0.01,8165.01,0.03
2018-07-28,2818.82,0.0,25451.06,0.0,7296.78,0.0,466.9,-0.01,8192.15,0.0
2018-07-29,2818.82,0.0,25451.06,0.0,7296.78,0.0,466.67,-0.0,8218.46,0.0
2018-07-30,2802.6,-0.01,25306.83,-0.01,7193.1,-0.01,457.08,-0.02,8180.48,-0.0
2018-07-31,2816.29,0.0,25415.19,0.0,7231.98,0.01,433.87,-0.05,7780.44,-0.05
2018-08-01,2813.36,-0.0,25333.82,-0.0,7272.89,0.01,420.75,-0.03,7624.91,-0.02
2018-08-02,2827.22,0.0,25326.16,-0.0,7372.15,0.01,412.62,-0.02,7567.15,-0.01
2018-08-03,2840.35,0.0,25462.58,0.01,7395.49,0.0,418.26,0.01,7434.39,-0.02
2018-08-04,2840.35,0.0,25462.58,0.0,7395.49,0.0,407.25,-0.03,7032.85,-0.05
2018-08-05,2840.35,0.0,25462.58,0.0,7395.49,0.0,410.52,0.01,7068.48,0.01
2018-08-06,2850.4,0.0,25502.18,0.0,7438.99,0.01,406.66,-0.01,6951.8,-0.02
2018-08-07,2858.45,0.0,25628.91,0.0,7462.65,0.0,380.21,-0.07,6753.12,-0.03
