Date,MFI_14
2016-02-15,76.53122828563397
2016-02-16,69.96239751613697
2016-02-17,65.0080077577135
2016-02-18,67.20329810360866
2016-02-19,68.77077131166553
2016-02-20,66.613792036644
2016-02-21,66.89742537780866
2016-02-22,68.36560688834243
2016-02-23,68.59331946258528
2016-02-24,66.93614129886984
2016-02-25,66.44931015216834
2016-02-26,57.97000395218509
2016-02-27,68.43765725013493
2016-02-28,74.86410667006471
2016-02-29,68.65510997707266
2016-03-01,79.12894533317831
2016-03-02,87.64313568986408
2016-03-03,90.18754818556285
2016-03-04,91.9114341919127
2016-03-05,95.53579019002363
2016-03-06,80.52624962635078
2016-03-07,70.8048699420582
2016-03-08,64.69173441349531
2016-03-09,67.15580142631845
2016-03-10,68.77188849152402
2016-03-11,65.6067871510842
2016-03-12,70.0755942109479
