time,TSI_13_25_13,TSIs_13_25_13
2013-04-04,77.58338602674115,69.55147840185361
2013-04-05,79.76348120205088,71.01033594473894
2013-04-06,81.35525583753197,72.48818164370938
2013-04-07,83.42707876707806,74.05088123276205
2013-04-08,85.7167561966485,75.71743479903155
2013-04-09,88.38643398813551,77.5272918260464
2013-04-10,68.88074502252664,76.29207085411501
2013-04-11,42.320738271878255,71.43902334236691
2013-04-12,30.148987978931533,65.54044686187615
2013-04-13,21.310776751498274,59.2219225603936
2013-04-14,14.718258309299301,52.86425623880871
2013-04-15,9.456636806961349,46.6631677485448
2013-04-16,4.625441320532829,40.657778258828806
2013-04-17,2.8628904124648766,35.2585085664911
2013-04-18,2.6740101351330368,30.60358021915424
2013-04-19,3.2480098729242908,26.695641598264245
2013-04-20,4.309866464243797,23.49767372197561
2013-04-21,4.429536060854138,20.773654056101115
2013-04-22,5.045485465893387,18.526772828928586
2013-04-23,6.581659712974977,16.820328098078072
2013-04-24,8.587864439389827,15.644261861122608
2013-04-25,9.18558044842873,14.721593087880628
2013-04-26,9.371123819995114,13.957240335325555
2013-04-27,8.812451108334061,13.222270445755342
2013-04-28,8.784767468344587,12.588341448982376
2013-04-29,9.389629564549299,12.13138260834908
2013-04-30,9.496147352676045,11.754920428967218
2013-05-01,7.6302597143249455,11.165683184018324
2013-05-02,5.29212455580169,10.326603379987377
2013-05-03,2.5538946887843674,9.216216424101235
2013-05-04,1.6042309040201803,8.128789921232514
2013-05-05,1.1547178669605696,7.132493913479379
2013-05-06,0.4195390218496638,6.173500357532278
2013-05-07,-0.23309617816760075,5.258272281003724
2013-05-08,-0.6455627415088104,4.414867277787648
2013-05-09,-1.099850542016779,3.627050446387016
2013-05-10,-0.9397763699986659,2.974646615474776
2013-05-11,-1.0165109344148135,2.4044812512048344
2013-05-12,-1.1444821434685308,1.8974864805372107
2013-05-13,-0.98251055378676,1.4860583327766435
2013-05-14,-1.8903793160902078,1.0037100972242363
2013-05-15,-2.5338410707802668,0.4983456446521645
2013-05-16,-2.6014627604507,0.05551587249461254
2013-05-17,-2.1009171705358836,-0.2525459907954583
2013-05-18,-1.5545322370699195,-0.4385440259775242
2013-05-19,-1.2354009409617068,-0.5523807281181218
2013-05-20,-0.8459077080593085,-0.5943131538240056
2013-05-21,-0.5907011537469995,-0.5937971538130048
2013-05-22,-0.09524171853309507,-0.5225749487730177
2013-05-23,1.1156807078446225,-0.2885384263990691
2013-05-24,3.043189114343713,0.1874226508498997
2013-05-25,4.676469907177447,0.8287151160395492
2013-05-26,6.3212565511926915,1.613363892489998
2013-05-27,6.961254761379057,2.377348302331292
2013-05-28,7.406547070548101,3.0958052692194076
2013-05-29,8.505955105001574,3.8686838171882885
2013-05-30,8.719460751785794,4.561651950702219
2013-05-31,9.173309061201554,5.220460109344981
2013-06-01,9.77291100955512,5.87081023794643
2013-06-02,8.624418726608388,6.264182879183853
2013-06-03,7.729463066454449,6.4735086202225105
2013-06-04,6.192642049081684,6.43338482434525
2013-06-05,5.063499233905593,6.237686882853871
2013-06-06,3.566107525198116,5.856032688903049
2013-06-07,-0.3028829136955885,4.97618760281753
2013-06-08,-3.770171846723821,3.7267076814544793
2013-06-09,-9.174109665089803,1.8837337748052965
2013-06-10,-12.025722325425404,-0.10333138237051753
2013-06-11,-13.250249960345837,-1.981462607795563
2013-06-12,-14.514814541334013,-3.771941455443913
2013-06-13,-16.797662856858253,-5.6327587985031045
2013-06-14,-19.141052551729608,-7.562515048964034
2013-06-15,-20.797905743368243,-9.453285148164635
2013-06-16,-22.358471065337547,-11.296883136332195
2013-06-17,-23.23075931299587,-13.001722590141291
2013-06-18,-22.309479449307076,-14.331402141450688
2013-06-19,-21.497899222373878,-15.35518743872543
2013-06-20,-20.843839504362723,-16.13928059095933
2013-06-21,-21.094593565507097,-16.847182444466156
2013-06-22,-21.69197606087883,-17.539295818239395
2013-06-23,-22.070589138759008,-18.186623435456482
2013-06-24,-22.767727597251326,-18.841066887141462
2013-06-25,-23.72691499574773,-19.539045188370928
2013-06-26,-24.126131111964703,-20.194343177455753
2013-06-27,-25.056040940262122,-20.88887142928524
2013-06-28,-28.16940953017563,-21.928948300841007
2013-06-29,-30.87437264806417,-23.206866064730033
2013-06-30,-32.69168369639581,-24.56184001211086
2013-07-01,-36.09804540174891,-26.209869353487726
2013-07-02,-35.84413021150344,-27.58619233320426
2013-07-03,-38.341595457101334,-29.122678493760986
2013-07-04,-39.38146468548588,-30.588219378293115
2013-07-05,-42.83699157178972,-32.33804397736406
2013-07-06,-45.565285596976544,-34.22764992302299
2013-07-07,-44.59899936665627,-35.709271272113455
2013-07-08,-42.94043896861081,-36.742295228755935
2013-07-09,-41.23187727240932,-37.38366409213499
2013-07-10,-35.200592901595456,-37.071796779200774
2013-07-11,-29.588375192885362,-36.00273655258429
2013-07-12,-24.248707059404516,-34.32358948213004
2013-07-13,-19.493681600336323,-32.20503121330237
2013-07-14,-16.180593225474706,-29.91582578646985
2013-07-15,-12.111339807671559,-27.372327789498666
2013-07-16,-9.444534524992141,-24.811214465997736
2013-07-17,-7.519012182490077,-22.34089985406807
2013-07-18,-7.794530844083733,-20.262847138356022
2013-07-19,-7.564827574194436,-18.448844343475795
2013-07-20,-7.785396353501457,-16.92549463062232
2013-07-21,-7.691732102481975,-15.606385698030845
2013-07-22,-7.619086761938343,-14.465342992874774
2013-07-23,-7.049663526794514,-13.405960212006166
2013-07-24,-6.111345800021975,-12.363872438865569
2013-07-25,-4.519203912977164,-11.243205506595796
2013-07-26,-3.2480858461801647,-10.10104555510785
2013-07-27,-2.8830628598054977,-9.069905170064658
2013-07-28,-0.6515648052662296,-7.867285117950597
2013-07-29,1.4205172948368718,-6.5404562018381025
2013-07-30,4.533567037495214,-4.9584528819333435
2013-07-31,7.643970494432051,-3.158106685309716
2013-08-01,9.505349752226017,-1.3490414799474688
2013-08-02,10.79897776205586,0.3863898403387207
2013-08-03,11.58518868598118,1.986218246859072
2013-08-04,12.60853509393859,3.503692082156146
