time,RSI_14
2011-02-03,80.49236129273999
2011-02-04,84.96501356564946
2011-02-05,87.59930482322986
2011-02-06,85.41157241903699
2011-02-07,83.99405225846999
2011-02-08,84.89351680492706
2011-02-09,87.49082400845589
2011-02-10,81.86406628193981
2011-02-11,84.11366173291192
2011-02-12,84.7863967586659
2011-02-13,80.50835041130713
2011-02-14,81.21985133279563
2011-02-15,78.1478010681241
2011-02-16,75.33968439385445
2011-02-17,75.76151448940794
2011-02-18,57.599403159818394
2011-02-19,60.832499706952156
2011-02-20,53.17615968256839
2011-02-21,50.63571580911823
2011-02-22,53.97818675063992
2011-02-23,55.771234557006444
2011-02-24,61.96448369818944
2011-02-25,55.03064407357687
2011-02-26,57.9792902564253
2011-02-27,52.58543469394051
2011-02-28,49.825601712659086
