time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,BTC_Trends,RSI_14,ROC_14,MFI_14,TSI_13_25_13,TSIs_13_25_13,Fast_EMA,Slow_EMA,Crossover_Long,Crossover_Short,Crossover_Signal,Daily_Return,Positive_Return
2020-08-21,btc,1095556.0,1.86965642,212828757688.56964,130584372.66577318,89.67555421,11524.6989491525,18467185.87857087,313078.0,2373319680.7160387,11.44559965852015,24.0,52.94973999624374,-0.6403164710302223,50.94024323499299,25.521309874046906,33.47126003066145,10674.114475795588,9707.223032102162,1.0,0.0,1.0,-0.028887365250917174,0.0
2020-08-22,btc,950674.0,1.89433444,215748935172.8625,114577256.01642041,132.85251961,11682.2891503799,18468035.87855438,308966.0,1623973228.4401088,11.436435185490547,23.0,55.48576495120698,-0.5170692325634385,45.345495674583205,23.18966163017886,32.00246025916394,10708.45660629693,9734.414350997646,1.0,0.0,1.0,0.013674127360957078,1.0
2020-08-23,btc,906460.0,1.89095764,215452337487.74307,132269332.31307349,169.22313162,11665.6092735243,18469017.12855438,287940.0,1273184909.3261185,11.43399186328634,21.0,55.14695097717449,-0.1276321259449542,50.6658202759929,21.232136183932482,30.463842534130873,10741.06073992207,9761.001682176993,1.0,0.0,1.0,-0.001427791817244839,0.0
2020-08-24,btc,944242.0,1.90603293,217417299095.4221,128593100.89647324,94.53286762,11771.4080537405,18469948.37854892,334304.0,2299912237.5031524,11.445096017870993,22.0,56.942911951716674,-0.8336850053189404,49.81417781881768,20.115043288450824,28.98544264189087,10776.15815191315,9788.679540782741,1.0,0.0,1.0,0.009069288858861047,1.0
2020-08-25,btc,951716.0,1.83853818,209799151719.14297,111720008.69546545,79.28346084,11358.4543202805,18470748.37854892,301021.0,2646190636.523264,11.446236508884267,23.0,48.739550239267686,-0.3001038905624087,49.94653044858352,16.51756342928787,27.20431704009044,10795.99329706074,9810.291094050957,1.0,0.0,1.0,-0.03508108219294803,0.0
2020-08-26,btc,1030264.0,1.8556766,211907514133.8888,123939384.64653216,77.23640636,11472.0491204559,18471635.87854892,328396.0,2743622135.1064982,11.446279675114365,23.0,50.83765198098449,-0.8938122910650992,42.84229917761133,14.1949605979656,25.345837548358322,10819.022240257316,9833.169007861006,1.0,0.0,1.0,0.01000090302538581,1.0
2020-08-27,btc,947577.0,1.82960462,209009655884.56284,112592821.26339878,78.96957965,11314.6737410286,18472442.12854892,324735.0,2646711009.6972194,11.451388099665255,21.0,47.91181721041447,-3.8966865952558054,35.03777380822924,11.359810051030452,23.347833620168625,10835.905949947497,9853.565321317012,1.0,0.0,1.0,-0.013718157739290193,0.0
2020-08-28,btc,1080096.0,1.86186629,212959896208.1221,142268448.5731322,75.46304708,11527.8830322326,18473460.87852162,352344.0,2822042104.82879,11.445114582546847,21.0,51.94679108415144,-2.0937376587662477,33.98290611812341,10.142758939138456,21.461394380021453,10859.477229670001,9876.61614801519,1.0,0.0,1.0,0.018843609288606622,1.0
2020-08-29,btc,972062.0,1.85563351,212284634016.18936,127430634.91826548,117.57198225,11490.7623477499,18474373.37852162,291205.0,1805571616.312888,11.430997822579233,21.0,51.2031004492959,-3.169721537508952,40.20451128824619,8.939476484017515,19.67254896630661,10880.981118286916,9898.838575737858,1.0,0.0,1.0,-0.0032200781686375635,0.0
2020-08-30,btc,821271.0,1.88762446,216140533746.53052,110847196.12753214,108.65223190000002,11698.9758329632,18475167.12852162,266126.0,1989287564.3339562,11.430601984202877,20.0,55.08712531996735,-1.6863272686953978,46.683361831565726,9.032763512782363,18.152579615803145,10908.845021188863,9923.621597310594,1.0,0.0,1.0,0.018120075841101313,1.0
